City,Time,Temperature,Humidity,Pressure,WindSpeed,Weather_Class
Shimla,2026-07-28T09:00,20.7,75,782.1,6.0,Cool
Shimla,2026-07-28T10:00,20.1,81,781.0,7.6,Cool
Shimla,2026-07-28T11:00,18.7,91,780.0,7.7,Cool
Shimla,2026-07-28T12:00,18.4,93,779.4,7.5,Cool
Shimla,2026-07-28T13:00,17.9,98,779.0,4.8,Cool
Shimla,2026-07-28T14:00,17.2,100,778.9,0.6,Cool
Shimla,2026-07-28T15:00,16.9,96,779.6,0.4,Cool
Shimla,2026-07-28T16:00,16.7,97,780.2,1.2,Cool
Shimla,2026-07-28T17:00,16.3,97,780.2,1.3,Cool
Shimla,2026-07-28T18:00,16.0,97,780.2,1.6,Cool
Shimla,2026-07-28T19:00,15.7,97,779.9,2.2,Cool
Shimla,2026-07-28T20:00,15.6,97,779.8,1.3,Cool
Shimla,2026-07-28T21:00,15.8,97,779.4,2.0,Cool
Shimla,2026-07-28T22:00,15.5,97,779.0,1.8,Cool
Shimla,2026-07-28T23:00,15.2,97,778.9,1.3,Cool
Shimla,2026-07-29T00:00,15.0,98,778.9,1.3,Cool
Shimla,2026-07-29T01:00,16.0,98,780.0,0.6,Cool
Shimla,2026-07-29T02:00,17.0,97,781.1,1.1,Cool
Shimla,2026-07-29T03:00,18.2,93,782.2,1.0,Cool
Shimla,2026-07-29T04:00,20.7,78,783.6,3.4,Cool
Shimla,2026-07-29T05:00,21.9,70,784.1,7.2,Cool
Shimla,2026-07-29T06:00,21.8,74,783.5,10.5,Cool
Shimla,2026-07-29T07:00,18.2,96,782.1,6.3,Cool
Shimla,2026-07-29T08:00,19.3,92,782.3,5.3,Cool
Shimla,2026-07-29T09:00,19.7,86,781.8,7.4,Cool
Shimla,2026-07-29T10:00,20.6,80,781.7,6.0,Cool
Shimla,2026-07-29T11:00,20.3,80,781.1,7.3,Cool
Shimla,2026-07-29T12:00,19.5,83,780.3,8.0,Cool
Shimla,2026-07-29T13:00,18.7,87,779.9,4.6,Cool
Shimla,2026-07-29T14:00,17.1,97,779.6,1.0,Cool
Shimla,2026-07-29T15:00,16.7,97,779.8,1.1,Cool
Shimla,2026-07-29T16:00,16.3,97,780.1,2.1,Cool
Shimla,2026-07-29T17:00,16.0,97,780.1,2.3,Cool
Shimla,2026-07-29T18:00,16.1,97,780.2,2.1,Cool
Shimla,2026-07-29T19:00,15.9,97,779.9,2.4,Cool
Shimla,2026-07-29T20:00,16.1,97,779.7,3.7,Cool
Shimla,2026-07-29T21:00,15.4,98,778.7,2.4,Cool
Shimla,2026-07-29T22:00,15.1,98,778.2,1.5,Cool
